代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,今年 累計 漲跌價,今年 累計 漲跌幅,3個月 累計 漲跌價,3個月 累計 漲跌幅,半年 累計 漲跌價,半年 累計 漲跌幅,1年 累計 漲跌價,1年 累計 漲跌幅,2年 累計 漲跌價,2年 累計 漲跌幅
3481,群創,19.9,1.8,9.94,536713,01/05,2.85,16.7,5.25,35.8,8.2,70.1,5.95,42.7,4.9,32.7
3491,昇達科,766.0,65.0,9.27,3525,01/05,87.0,12.8,310.0,68.0,437.5,133.0,410.5,115.0,604.0,373.0
3580,友威科,70.8,1.7,2.46,4596,01/05,5.6,8.59,8.5,13.6,4.8,7.27,-13.5,-16.0,20.4,40.5
3583,辛耘,350.5,11.5,3.39,2261,01/05,16.5,4.94,-31.0,-8.13,14.5,4.32,-34.5,-8.96,151.0,75.7
3605,宏致,63.8,0.4,0.63,4749,01/05,1.6,2.57,-8.0,-11.1,7.5,13.3,15.7,32.6,32.5,104.0
3623,富晶通,28.6,2.6,10.0,599,01/05,4.95,20.9,5.8,25.4,10.95,62.0,3.7,14.9,-2.3,-7.44
3661,世芯-KY,3650.0,15.0,0.41,2008,01/05,140.0,3.99,340.0,10.3,430.0,13.4,655.0,21.9,260.0,7.67
3680,家登,408.0,37.0,9.97,7069,01/05,52.0,14.6,54.0,15.3,69.5,20.5,-86.0,-17.4,53.0,14.9
3707,漢磊,56.3,2.3,4.26,12618,01/05,4.5,8.69,-3.6,-6.01,22.2,65.1,9.05,19.2,-12.8,-18.5
3711,日月光投控,263.5,5.5,2.13,22420,01/05,13.0,5.19,98.0,59.2,119.5,83.0,102.5,63.7,137.0,108.0
3714,富采,35.9,1.2,3.46,8214,01/05,0.15,0.42,-3.35,-8.54,1.15,3.31,-5.95,-14.2,-9.7,-21.3
